Name,Model,Density_kgm3,Strength_Pa,MediumCdScale,Thor_c,Thor_alpha,Thor_beta,Thor_gamma,Thor_lambda,RicochetAngleDeg,RicochetRestitution,ThresholdEnergyDensity_Jm2,WoundWeight,Notes
Gel10,Poncelet,1030,700000,1.0,,,,,,0,0,60000,0.3,"Баллистический желатин 10% при 4°C (протокол FBI). Poncelet F = A*(a + Cd*rho*v^2) + порог остановки по плотности энергии E/A (Кнойбюль). a=0.7 МПа и порог 0.06 Дж/мм² откалиброваны 2026-09-16: эталоны Reference_Gel.csv в 1.7%, при 50 м/с 9x19 уходит ~8.6 см (раньше a=160 кПа - на малой скорости метр)"
Water,Poncelet,1000,0,1.0,,,,,,0,0,0,0,Вода: только гидродинамическое сопротивление. Не сверено
Drywall,Poncelet,700,10000000,1.0,,,,,,12,0.3,0,0,Гипсокартон 12.7 мм (FBI wallboard 1/2in): 9x19 теряет ~10 м/с на лист (оценка по FBI-тестам HST: два листа почти не меняют глубину в геле). Рикошет только при очень скользящем угле
Plywood,Poncelet,600,30000000,1.0,,,,,,12,0.3,0,0,Фанера хвойная 18 мм (FBI plywood 3/4in): потеря ~20-25 м/с для 9x19 (~70 fps в FBI-протоколе). Прочность на смятие ~30 МПа
Pine,Poncelet,500,30000000,1.0,,,,,,15,0.35,0,0,"Доска сосна, поперёк волокон. 9x19 FMJ проникает ~20 см (публичные тесты 6-8 in сосновых досок). Не сверено точно"
MildSteel,THOR,7850,0,1.0,6.523,0.906,-0.963,1.286,0.019,20,0.5,0,0,"Мягкая сталь (Project THOR, BRL TR-47, коэффициенты остаточной скорости для mild homogeneous steel, имперские единицы). Проверка: 9x19 124gr пробивает 3.2 мм с остатком ~140 м/с, 5 мм - на пределе; M855 пробивает 9.5 мм на 100 м (спецификация). Потеря массы не моделируется. Рикошет при угле к поверхности <= 20°"
Concrete,Poncelet,2400,330000000,1.5,,,,,,18,0.4,0,0,"Бетон (стены/пол полигона по умолчанию). Poncelet с эффективной прочностью: 9x19 ~2 см, 5.56 M855 ~9 см (публичные оценки). Рикошет при угле к поверхности <= 18°"
Skin,Poncelet,1100,50000000,1.0,,,,,,0,0,100000,0.05,"Кожа ~2-3 мм. Порог перфорации по Кнойбюлю ~0.1 Дж/мм² (для 9 мм ~6 Дж, ~40 м/с): a·A·s = 50 МПа·64 мм²·2 мм ≈ 6.4 Дж"
Fat,Poncelet,920,300000,0.8,,,,,,0,0,40000,0.08,"Подкожный жир: мягче мышц, торможение ~0.7 от геля (Кнойбюль)"
Muscle,Poncelet,1060,800000,1.0,,,,,,0,0,60000,0.15,"Мышечная ткань ≈ гель 10% при 4°C (эталон Кнойбюля), плотнее"
CorticalBone,Poncelet,1900,150000000,1.5,,,,,,0,0,500000,0.20,"Кортикальная кость (череп, диафиз): прочность на сжатие ~150-200 МПа. 9x19 через свод черепа 7 мм теряет ~15% скорости"
SpongyBone,Poncelet,1200,30000000,1.3,,,,,,0,0,200000,0.15,"Губчатая/тонкая кость (рёбра, костный мозг диафиза): слабее кортикальной"
Brain,Poncelet,1040,300000,1.0,,,,,,0,0,30000,1.0,Мозг: мягче мышц
Viscera,Poncelet,1050,500000,1.0,,,,,,0,0,40000,0.35,Внутренние органы (печень/кишечник) ~ между жиром и мышцей
Lung,Poncelet,350,100000,1.0,,,,,,0,0,20000,0.25,"Лёгкое: воздухсодержащая ткань, низкая плотность - слабое торможение"
