Weapon,Generation,Part,DisplayName,Stage,Group,Order,DirX,DirY,DirZ,Dist_cm,Description
Glock17,Gen5,Magazine,"Магазин",Field,,1,0,0,-1,12.0,"Коробчатый магазин на 17 патронов: подаватель с пружиной поднимает патроны к линии досылания."
Glock17,Gen5,Slide,"Затвор в сборе",Field,,2,1,0,0,20.0,"Затвор несёт ударник, выбрасыватель и прицел; при выстреле откатывается и перезаряжает оружие."
Glock17,Gen5,RecoilSpring,"Возвратная пружина в сборе",Field,,3,1,0,0,12.0,"Возвратная пружина с направляющим стержнем гасит откат затвора и возвращает его вперёд, досылая патрон."
Glock17,Gen5,Barrel,"Ствол",Field,,4,1,0,0.3,14.0,"Ствол с патронником; при откате казённая часть опускается и отпирает затвор (схема Браунинга с перекосом)."
Glock17,Gen5,Frame,"Рамка",Field,,5,0,0,0,0.0,"Рамка: полимерное основание с рукоятью, вмещает ударно-спусковой механизм и направляющие затвора."
Glock17,Gen5,SlideCoverPlate,"Крышка затвора",Full,slide,1,0,0,-1,4.0,"Крышка затвора удерживает сборку ударника в его канале."
Glock17,Gen5,SpringCups,"Полукольца пружины",Full,slide,2,0,0,1,4.5,"Полукольца фиксируют пружину ударника на стержне."
Glock17,Gen5,FiringPinSpring,"Пружина ударника",Full,slide,3,-1,0,0,7.0,"Пружина ударника разгоняет его при срыве с шептала."
Glock17,Gen5,SpacerSleeve,"Муфта",Full,slide,4,-1,0,0,5.5,"Муфта центрирует пружину ударника в канале затвора."
Glock17,Gen5,Striker,"Ударник",Full,slide,5,-1,0,0,9.0,"Ударник накалывает капсюль; взводится при откате затвора и удерживается шепталом тяги."
Glock17,Gen5,FiringPinSafety,"Предохранитель ударника",Full,slide,6,0,0,-1,3.5,"Предохранитель ударника запирает его канал и опускается только при нажатии на спуск."
Glock17,Gen5,ExtractorPlunger,"Толкатель выбрасывателя",Full,slide,7,0,1,0,4.5,"Толкатель с пружиной прижимает зацеп выбрасывателя к закраине гильзы."
Glock17,Gen5,Extractor,"Выбрасыватель",Full,slide,8,0,1,0,4.0,"Выбрасыватель захватывает закраину гильзы и извлекает её из патронника при откате."
Glock17,Gen5,SlideLock,"Защёлка разборки",Full,frame,9,0,-1,0,5.5,"Защёлка разборки удерживает ствол и возвратную пружину в рамке; опускается при снятии затвора."
Glock17,Gen5,LockingBlock,"Блок запирания",Full,frame,10,0,0,1,5.0,"Блок запирания принимает проушину ствола и задаёт его перекос при откате."
Glock17,Gen5,SlideStop,"Затворная задержка",Full,frame,11,0,-1,0,4.5,"Затворная задержка останавливает затвор в заднем положении после последнего патрона."
Glock17,Gen5,TriggerHousing,"Корпус УСМ с отражателем",Full,frame,12,0,0,-1,6.0,"Корпус ударно-спускового механизма с отражателем: несёт шептало и отражает гильзу."
Glock17,Gen5,Connector,"Коннектор",Full,frame,13,0,1,0,4.0,"Коннектор расцепляет тягу с ударником в конце хода спуска и задаёт усилие спуска."
Glock17,Gen5,Trigger,"Спусковой крючок с тягой",Full,frame,14,0,0,-1,7.0,"Спусковой крючок с тягой снимает предохранители и спускает ударник."
Glock17,Gen5,MagCatch,"Защёлка магазина",Full,frame,15,0,1,0,4.0,"Защёлка магазина удерживает магазин в рукояти."
